"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","sub_id","table_name","treatment","type","view","filename","fname","url"
"H3K4me3B","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000913","GSM788087","Snyder","USC","PeakSeq1.0","8f6e3296c4fa702878987e71278ee82a",,,"wgEncode",,"exp","181M",1350,"wgEncodeSydhHistoneK562H3k4me3bUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneK562H3k4me3bUcdSig.bigWig","wgEncodeSydhHistoneK562H3k4me3bUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562H3k4me3bUcdSig.bigWig"
"H3K9acB","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000914","GSM788082","Snyder","USC","PeakSeq1.0","5435877535fbb8304b8d1651841b3e96",,,"wgEncode",,"exp","748K",1351,"wgEncodeSydhHistoneK562H3k9acbUcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneK562H3k9acbUcdPk.narrowPeak.gz","wgEncodeSydhHistoneK562H3k9acbUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562H3k9acbUcdPk.narrowPeak.gz"
"H3K9acB","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000914","GSM788082","Snyder","USC","PeakSeq1.0","21c9cda4dc15aa0e32fc794a0edb4e08",,,"wgEncode",,"exp","275M",1351,"wgEncodeSydhHistoneK562H3k9acbUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneK562H3k9acbUcdSig.bigWig","wgEncodeSydhHistoneK562H3k9acbUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562H3k9acbUcdSig.bigWig"
"Input","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE Mar 2012 Freeze",#2011-03-22#,#2009-06-11#,#2010-03-11#,"wgEncodeEH000672","GSM788074","Snyder","USC",,"a3587534e1b7cabc939f95230896ab8e",,"hg18","wgEncode",,"input","432M",3839,"wgEncodeSydhHistoneK562InputUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneK562InputUcdSig.bigWig","wgEncodeSydhHistoneK562InputUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562InputUcdSig.bigWig"
"H3K27me3B","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000912","GSM788088","Snyder","USC","PeakSeq1.0","f6617bce31addd03fb9ad1307fb70128","renamed - Files were renamed due to cell naming from K562b -> K562",,"wgEncode",,"exp","2.2M",1352,"wgEncodeSydhHistoneK562bH3k27me3bUcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneK562bH3k27me3bUcdPk.narrowPeak.gz","wgEncodeSydhHistoneK562bH3k27me3bUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562bH3k27me3bUcdPk.narrowPeak.gz"
"H3K27me3B","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000912","GSM788088","Snyder","USC","PeakSeq1.0","07986c25585e8f867aaed33f9a55d12a","renamed - Files were renamed due to cell naming from K562b -> K562",,"wgEncode",,"exp","308M",1352,"wgEncodeSydhHistoneK562bH3k27me3bUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneK562bH3k27me3bUcdSig.bigWig","wgEncodeSydhHistoneK562bH3k27me3bUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562bH3k27me3bUcdSig.bigWig"
"H3K4me1","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-05-20#,#2011-02-20#,"wgEncodeEH000911","GSM788085","Snyder","USC","PeakSeq1.0","8664dfcb4d4d7fc30f05b0b71d7bed49","renamed - Files were renamed due to cell naming from K562b -> K562",,"wgEncode",,"exp","2.0M",1205,"wgEncodeSydhHistoneK562bH3k4me1UcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneK562bH3k4me1UcdPk.narrowPeak.gz","wgEncodeSydhHistoneK562bH3k4me1UcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562bH3k4me1UcdPk.narrowPeak.gz"
"H3K4me1","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-05-20#,#2011-02-20#,"wgEncodeEH000911","GSM788085","Snyder","USC","PeakSeq1.0","aab5c2e0b2ec10cc89bb706d7e7161b7","renamed - Files were renamed due to cell naming from K562b -> K562",,"wgEncode",,"exp","238M",1205,"wgEncodeSydhHistoneK562bH3k4me1UcdSig","None","bigWig","Signal","wgEncodeSydhHistoneK562bH3k4me1UcdSig.bigWig","wgEncodeSydhHistoneK562bH3k4me1UcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562bH3k4me1UcdSig.bigWig"
"H3K4me3B","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000913","GSM788087","Snyder","USC","PeakSeq1.0","dad2b246ea317d2b49316952132b480e","renamed - Files were renamed due to cell naming from K562b -> K562",,"wgEncode",,"exp","387K",1350,"wgEncodeSydhHistoneK562bH3k4me3bUcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneK562bH3k4me3bUcdPk.narrowPeak.gz","wgEncodeSydhHistoneK562bH3k4me3bUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562bH3k4me3bUcdPk.narrowPeak.gz"
"H3K4me3B","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000913","GSM788087","Snyder","USC","PeakSeq1.0","8f6e3296c4fa702878987e71278ee82a","renamed - Files were renamed due to cell naming from K562b -> K562",,"wgEncode",,"exp","181M",1350,"wgEncodeSydhHistoneK562bH3k4me3bUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneK562bH3k4me3bUcdSig.bigWig","wgEncodeSydhHistoneK562bH3k4me3bUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562bH3k4me3bUcdSig.bigWig"
"H3K9acB","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000914","GSM788082","Snyder","USC","PeakSeq1.0","5435877535fbb8304b8d1651841b3e96","renamed - Files were renamed due to cell naming from K562b -> K562",,"wgEncode",,"exp","748K",1351,"wgEncodeSydhHistoneK562bH3k9acbUcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneK562bH3k9acbUcdPk.narrowPeak.gz","wgEncodeSydhHistoneK562bH3k9acbUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562bH3k9acbUcdPk.narrowPeak.gz"
"H3K9acB","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000914","GSM788082","Snyder","USC","PeakSeq1.0","21c9cda4dc15aa0e32fc794a0edb4e08","renamed - Files were renamed due to cell naming from K562b -> K562",,"wgEncode",,"exp","275M",1351,"wgEncodeSydhHistoneK562bH3k9acbUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneK562bH3k9acbUcdSig.bigWig","wgEncodeSydhHistoneK562bH3k9acbUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562bH3k9acbUcdSig.bigWig"
"Input","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE Mar 2012 Freeze",#2011-03-22#,#2009-06-11#,#2010-03-11#,"wgEncodeEH000672","GSM788074","Snyder","USC",,"a3587534e1b7cabc939f95230896ab8e","renamed - Files were renamed due to cell naming from K562b -> K562","hg18","wgEncode",,"input","432M",3839,"wgEncodeSydhHistoneK562bInputUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneK562bInputUcdSig.bigWig","wgEncodeSydhHistoneK562bInputUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562bInputUcdSig.bigWig"
"H3K9me3","MCF-7","wgEncodeSydhHistone","UCDavis","wgEncodeEH000762","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-29#,#2012-12-29#,"wgEncodeEH002875","GSM945857","Snyder","USC","PeakSeq1.0. Spreading mark so standard peak calling does not work well.  Replicates appear to agree regardless.","d4ae1d1ed85acffc23e433ec36792fb5",,,"wgEncode",,"exp","188K",6556,"wgEncodeSydhHistoneMcf7H3k09me3UcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneMcf7H3k09me3UcdPk.narrowPeak.gz","wgEncodeSydhHistoneMcf7H3k09me3UcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneMcf7H3k09me3UcdPk.narrowPeak.gz"
"H3K9me3","MCF-7","wgEncodeSydhHistone","UCDavis","wgEncodeEH000762","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-29#,#2012-12-29#,"wgEncodeEH002875","GSM945857","Snyder","USC","PeakSeq1.0","e10526625ebf4345811237ad8335d8d9",,,"wgEncode",,"exp","157M",6556,"wgEncodeSydhHistoneMcf7H3k09me3UcdSig","None","bigWig","Signal","wgEncodeSydhHistoneMcf7H3k09me3UcdSig.bigWig","wgEncodeSydhHistoneMcf7H3k09me3UcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneMcf7H3k09me3UcdSig.bigWig"
"H3K27ac","MCF-7","wgEncodeSydhHistone","UCDavis","wgEncodeEH000762","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-01-22#,#2012-10-21#,"wgEncodeEH002872","GSM945854","Snyder","USC","PeakSeq1.0","0b98f1c67243d6a195d443e65a20157b",,,"wgEncode",,"exp","466K",5474,"wgEncodeSydhHistoneMcf7H3k27acUcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneMcf7H3k27acUcdPk.narrowPeak.gz","wgEncodeSydhHistoneMcf7H3k27acUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneMcf7H3k27acUcdPk.narrowPeak.gz"
"H3K27ac","MCF-7","wgEncodeSydhHistone","UCDavis","wgEncodeEH000762","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-01-22#,#2012-10-21#,"wgEncodeEH002872","GSM945854","Snyder","USC","PeakSeq1.0","444b5ef809409789672d819539bc2788",,,"wgEncode",,"exp","257M",5474,"wgEncodeSydhHistoneMcf7H3k27acUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneMcf7H3k27acUcdSig.bigWig","wgEncodeSydhHistoneMcf7H3k27acUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneMcf7H3k27acUcdSig.bigWig"
"H3K27me3B","MCF-7","wgEncodeSydhHistone","UCDavis","wgEncodeEH000762","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-06-07#,#2013-03-07#,"wgEncodeEH002922","GSM970218","Snyder","USC","PeakSeq1.0","74522cef31706aa3d9274923ee525ec9",,,"wgEncode",,"exp","401K",7027,"wgEncodeSydhHistoneMcf7H3k27me3bUcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneMcf7H3k27me3bUcdPk.narrowPeak.gz","wgEncodeSydhHistoneMcf7H3k27me3bUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneMcf7H3k27me3bUcdPk.narrowPeak.gz"
"H3K27me3B","MCF-7","wgEncodeSydhHistone","UCDavis","wgEncodeEH000762","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-06-07#,#2013-03-07#,"wgEncodeEH002922","GSM970218","Snyder","USC","PeakSeq1.0","ec265a4feb533aaff7e1842211fbbdf9",,,"wgEncode",,"exp","315M",7027,"wgEncodeSydhHistoneMcf7H3k27me3bUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneMcf7H3k27me3bUcdSig.bigWig","wgEncodeSydhHistoneMcf7H3k27me3bUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneMcf7H3k27me3bUcdSig.bigWig"
"H3K36me3B","MCF-7","wgEncodeSydhHistone","UCDavis","wgEncodeEH000762","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-06-07#,#2013-03-07#,"wgEncodeEH002923","GSM970217","Snyder","USC","PeakSeq1.0","bc207e1c6e9db09822d095bb71b27c40",,,"wgEncode",,"exp","938K",7028,"wgEncodeSydhHistoneMcf7H3k36me3bUcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneMcf7H3k36me3bUcdPk.narrowPeak.gz","wgEncodeSydhHistoneMcf7H3k36me3bUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneMcf7H3k36me3bUcdPk.narrowPeak.gz"
"H3K36me3B","MCF-7","wgEncodeSydhHistone","UCDavis","wgEncodeEH000762","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-06-07#,#2013-03-07#,"wgEncodeEH002923","GSM970217","Snyder","USC","PeakSeq1.0","db04ddab92cad6d0bceaf016cc69c0f1",,,"wgEncode",,"exp","268M",7028,"wgEncodeSydhHistoneMcf7H3k36me3bUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneMcf7H3k36me3bUcdSig.bigWig","wgEncodeSydhHistoneMcf7H3k36me3bUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneMcf7H3k36me3bUcdSig.bigWig"
"Input","MCF-7","wgEncodeSydhHistone","UCDavis","wgEncodeEH000762","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-04-08#,"wgEncodeEH000762","GSM945859","Snyder","USC",,"28127f15e2564c9fbece2adfa80f4394",,"hg18","wgEncode",,"input","397M",3056,"wgEncodeSydhHistoneMcf7InputUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneMcf7InputUcdSig.bigWig","wgEncodeSydhHistoneMcf7InputUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneMcf7InputUcdSig.bigWig"
"H3K9me3","NT2-D1","wgEncodeSydhHistone","UCDavis","wgEncodeEH000654","ChipSeq","ENCODE Mar 2012 Freeze",#2011-06-22#,#2010-06-22#,#2011-03-21#,"wgEncodeEH000918","GSM788080","Snyder","USC","PeakSeq1.0","482c9bb065898dd4648e006737a6f518",,,"wgEncode",,"exp","1.5M",1831,"wgEncodeSydhHistoneNt2d1H3k09me3UcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneNt2d1H3k09me3UcdPk.narrowPeak.gz","wgEncodeSydhHistoneNt2d1H3k09me3UcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneNt2d1H3k09me3UcdPk.narrowPeak.gz"
"H3K9me3","NT2-D1","wgEncodeSydhHistone","UCDavis","wgEncodeEH000654","ChipSeq","ENCODE Mar 2012 Freeze",#2011-06-22#,#2010-06-22#,#2011-03-21#,"wgEncodeEH000918","GSM788080","Snyder","USC","PeakSeq1.0","c43b679b425236493fdd5d6cac03ad5c",,,"wgEncode",,"exp","396M",1831,"wgEncodeSydhHistoneNt2d1H3k09me3UcdSig","None","bigWig","Signal","wgEncodeSydhHistoneNt2d1H3k09me3UcdSig.bigWig","wgEncodeSydhHistoneNt2d1H3k09me3UcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneNt2d1H3k09me3UcdSig.bigWig"
"H3K27me3B","NT2-D1","wgEncodeSydhHistone","UCDavis","wgEncodeEH000654","ChipSeq","ENCODE June 2010 Freeze",,#2010-05-04#,#2011-02-04#,"wgEncodeEH000908","GSM788071","Snyder","USC","PeakSeq1.0","d24c30a4d7ae87e18412468314afe1ec",,,"wgEncode",,"exp","650K",1137,"wgEncodeSydhHistoneNt2d1H3k27me3bUcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneNt2d1H3k27me3bUcdPk.narrowPeak.gz","wgEncodeSydhHistoneNt2d1H3k27me3bUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneNt2d1H3k27me3bUcdPk.narrowPeak.gz"
"H3K27me3B","NT2-D1","wgEncodeSydhHistone","UCDavis","wgEncodeEH000654","ChipSeq","ENCODE June 2010 Freeze",,#2010-05-04#,#2011-02-04#,"wgEncodeEH000908","GSM788071","Snyder","USC","PeakSeq1.0","2c95a53de5c865134f90730adf71267f",,,"wgEncode",,"exp","316M",1137,"wgEncodeSydhHistoneNt2d1H3k27me3bUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneNt2d1H3k27me3bUcdSig.bigWig","wgEncodeSydhHistoneNt2d1H3k27me3bUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneNt2d1H3k27me3bUcdSig.bigWig"
"H3K36me3B","NT2-D1","wgEncodeSydhHistone","UCDavis","wgEncodeEH000654","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000915","GSM788081","Snyder","USC","PeakSeq1.0","499377757ca5279b57819ee821bfc58e",,,"wgEncode",,"exp","2.3M",1354,"wgEncodeSydhHistoneNt2d1H3k36me3bUcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneNt2d1H3k36me3bUcdPk.narrowPeak.gz","wgEncodeSydhHistoneNt2d1H3k36me3bUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneNt2d1H3k36me3bUcdPk.narrowPeak.gz"
