"cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_exp_id","lab_version","md5sum","obj_status","orig_assembly","project","replicate","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"AG04449","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-07#,#2010-01-06#,#2010-10-05#,"wgEncodeEH000505","GSM736562","Stam","UW","DS12319","WindowDensity-bin20-win+/-75","b7f780478fd126e8ff9022b58936939f",,"hg18","wgEncode",1,"152M",1257,,"wgEncodeUwDnaseAg04449RawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseAg04449RawRep1.bigWig","wgEncodeUwDnaseAg04449RawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg04449RawRep1.bigWig"
"AG04449","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000505","GSM736590","Stam","UW","DS12329","WindowDensity-bin20-win+/-75","d2f3e308fa8d54763463902d46c307dc",,"hg18","wgEncode",2,"172M",1548,,"wgEncodeUwDnaseAg04449RawRep2","None","bigWig","RawSignal","wgEncodeUwDnaseAg04449RawRep2.bigWig","wgEncodeUwDnaseAg04449RawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg04449RawRep2.bigWig"
"AG04450","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000506","GSM736514","Stam","UW","DS12270","Hotspot-v5.1","ec0e31bbbe094f0bdcff8c6bf9dcc9f9",,"hg18","wgEncode",1,"3.5M",1550,,"wgEncodeUwDnaseAg04450HotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseAg04450HotspotsRep1.broadPeak.gz","wgEncodeUwDnaseAg04450HotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg04450HotspotsRep1.broadPeak.gz"
"AG04450","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000506","GSM736563","Stam","UW","DS12255","Hotspot-v5.1","229984a60a72b3ae796807e2f41fa864",,"hg18","wgEncode",2,"4.2M",1549,,"wgEncodeUwDnaseAg04450HotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseAg04450HotspotsRep2.broadPeak.gz","wgEncodeUwDnaseAg04450HotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg04450HotspotsRep2.broadPeak.gz"
"AG04450","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000506","GSM736514","Stam","UW","DS12270","lmax-v1.0","8f7c4f145d130385f9b5e732961b3c42",,"hg18","wgEncode",1,"1.7M",1550,,"wgEncodeUwDnaseAg04450PkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseAg04450PkRep1.narrowPeak.gz","wgEncodeUwDnaseAg04450PkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg04450PkRep1.narrowPeak.gz"
"AG04450","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000506","GSM736563","Stam","UW","DS12255","lmax-v1.0","1250e67a89764a7e877bca3bbee70f62",,"hg18","wgEncode",2,"1.8M",1549,,"wgEncodeUwDnaseAg04450PkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseAg04450PkRep2.narrowPeak.gz","wgEncodeUwDnaseAg04450PkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg04450PkRep2.narrowPeak.gz"
"AG04450","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000506","GSM736514","Stam","UW","DS12270","WindowDensity-bin20-win+/-75","7887e48e5eb969075be3acc22fe9b0ae",,"hg18","wgEncode",1,"152M",1550,,"wgEncodeUwDnaseAg04450RawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseAg04450RawRep1.bigWig","wgEncodeUwDnaseAg04450RawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg04450RawRep1.bigWig"
"AG04450","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000506","GSM736563","Stam","UW","DS12255","WindowDensity-bin20-win+/-75","1e9552872f92a7f0d63825bacaeebf48",,"hg18","wgEncode",2,"185M",1549,,"wgEncodeUwDnaseAg04450RawRep2","None","bigWig","RawSignal","wgEncodeUwDnaseAg04450RawRep2.bigWig","wgEncodeUwDnaseAg04450RawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg04450RawRep2.bigWig"
"AG09309","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000507","GSM736551","Stam","UW","DS12352","Hotspot-v5.1","bdc755bf31d528e0e0532983553f115b",,"hg18","wgEncode",1,"3.1M",1551,,"wgEncodeUwDnaseAg09309HotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseAg09309HotspotsRep1.broadPeak.gz","wgEncodeUwDnaseAg09309HotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg09309HotspotsRep1.broadPeak.gz"
"AG09309","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000507","GSM736616","Stam","UW","DS12357","Hotspot-v5.1","8b9d3a620b1d126107bc5864678f2e3e",,"hg18","wgEncode",2,"3.1M",1552,,"wgEncodeUwDnaseAg09309HotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseAg09309HotspotsRep2.broadPeak.gz","wgEncodeUwDnaseAg09309HotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg09309HotspotsRep2.broadPeak.gz"
"AG09309","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000507","GSM736551","Stam","UW","DS12352","lmax-v1.0","a12753d0b8d546473c733ba9be045a5c",,"hg18","wgEncode",1,"2.2M",1551,,"wgEncodeUwDnaseAg09309PkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseAg09309PkRep1.narrowPeak.gz","wgEncodeUwDnaseAg09309PkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg09309PkRep1.narrowPeak.gz"
"AG09309","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000507","GSM736616","Stam","UW","DS12357","lmax-v1.0","ddac6a15acd64d7b83753f2b5234e44a",,"hg18","wgEncode",2,"1.8M",1552,,"wgEncodeUwDnaseAg09309PkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseAg09309PkRep2.narrowPeak.gz","wgEncodeUwDnaseAg09309PkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg09309PkRep2.narrowPeak.gz"
"AG09309","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000507","GSM736551","Stam","UW","DS12352","WindowDensity-bin20-win+/-75","d2b95de8d781192ba93a5ad026dae604",,"hg18","wgEncode",1,"121M",1551,,"wgEncodeUwDnaseAg09309RawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseAg09309RawRep1.bigWig","wgEncodeUwDnaseAg09309RawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg09309RawRep1.bigWig"
"AG09309","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000507","GSM736616","Stam","UW","DS12357","WindowDensity-bin20-win+/-75","e263e7afa6404e1bc52b1c5dc2c68583",,"hg18","wgEncode",2,"159M",1552,,"wgEncodeUwDnaseAg09309RawRep2","None","bigWig","RawSignal","wgEncodeUwDnaseAg09309RawRep2.bigWig","wgEncodeUwDnaseAg09309RawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg09309RawRep2.bigWig"
"AG09319","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000508","GSM736531","Stam","UW","DS12291","Hotspot-v5.1","de3fcb393a1c0032ca1195a6b83d4498",,"hg18","wgEncode",1,"2.3M",1554,,"wgEncodeUwDnaseAg09319HotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseAg09319HotspotsRep1.broadPeak.gz","wgEncodeUwDnaseAg09319HotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg09319HotspotsRep1.broadPeak.gz"
"AG09319","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000508","GSM736619","Stam","UW","DS12286","Hotspot-v5.1","8095a6d57438a4033d60e9dd6e072531",,"hg18","wgEncode",2,"2.6M",1553,,"wgEncodeUwDnaseAg09319HotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseAg09319HotspotsRep2.broadPeak.gz","wgEncodeUwDnaseAg09319HotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg09319HotspotsRep2.broadPeak.gz"
"AG09319","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-14#,#2011-10-14#,"wgEncodeEH000508","GSM736531","Stam","UW","DS12291","lmax-v1.0","a362a1c62506b467fa04bbe2ba090e85",,"hg18","wgEncode",1,"1.6M",3261,"V2 - Fixed bug in peak calls that artificially reduced the number of peaks","wgEncodeUwDnaseAg09319PkRep1V2","None","narrowPeak","Peaks","wgEncodeUwDnaseAg09319PkRep1V2.narrowPeak.gz","wgEncodeUwDnaseAg09319PkRep1V2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg09319PkRep1V2.narrowPeak.gz"
"AG09319","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000508","GSM736619","Stam","UW","DS12286","lmax-v1.0","6cace0cfd377b9013018cab8979e0511",,"hg18","wgEncode",2,"1.6M",1553,,"wgEncodeUwDnaseAg09319PkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseAg09319PkRep2.narrowPeak.gz","wgEncodeUwDnaseAg09319PkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg09319PkRep2.narrowPeak.gz"
"AG09319","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000508","GSM736531","Stam","UW","DS12291","WindowDensity-bin20-win+/-75","36debd83ca48c2a071faa8659173cbf6",,"hg18","wgEncode",1,"105M",1554,,"wgEncodeUwDnaseAg09319RawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseAg09319RawRep1.bigWig","wgEncodeUwDnaseAg09319RawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg09319RawRep1.bigWig"
"AG09319","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000508","GSM736619","Stam","UW","DS12286","WindowDensity-bin20-win+/-75","2a23ed031498f61737747efd7c06a588",,"hg18","wgEncode",2,"123M",1553,,"wgEncodeUwDnaseAg09319RawRep2","None","bigWig","RawSignal","wgEncodeUwDnaseAg09319RawRep2.bigWig","wgEncodeUwDnaseAg09319RawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg09319RawRep2.bigWig"
"AG10803","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-08#,#2010-10-08#,"wgEncodeEH000509","GSM736598","Stam","UW","DS12384","Hotspot-v5.1","f02f1f05f3a96e78804df5fdef7e101f",,"hg18","wgEncode",1,"2.7M",1576,,"wgEncodeUwDnaseAg10803HotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseAg10803HotspotsRep1.broadPeak.gz","wgEncodeUwDnaseAg10803HotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg10803HotspotsRep1.broadPeak.gz"
"AG10803","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-08#,#2010-10-08#,"wgEncodeEH000509","GSM736633","Stam","UW","DS12374","Hotspot-v5.1","443c4c7a73a8aaaacc4959be280e3f63",,"hg18","wgEncode",2,"2.7M",1555,,"wgEncodeUwDnaseAg10803HotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseAg10803HotspotsRep2.broadPeak.gz","wgEncodeUwDnaseAg10803HotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg10803HotspotsRep2.broadPeak.gz"
"AG10803","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-08#,#2010-10-08#,"wgEncodeEH000509","GSM736598","Stam","UW","DS12384","lmax-v1.0","15b70d6e624aefd2296fc2602868c34d",,"hg18","wgEncode",1,"1.9M",1576,,"wgEncodeUwDnaseAg10803PkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseAg10803PkRep1.narrowPeak.gz","wgEncodeUwDnaseAg10803PkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg10803PkRep1.narrowPeak.gz"
"AG10803","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-08#,#2010-10-08#,"wgEncodeEH000509","GSM736633","Stam","UW","DS12374","lmax-v1.0","46d75cb0ea2890deface70341e84da7f",,"hg18","wgEncode",2,"2.0M",1555,,"wgEncodeUwDnaseAg10803PkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseAg10803PkRep2.narrowPeak.gz","wgEncodeUwDnaseAg10803PkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg10803PkRep2.narrowPeak.gz"
"AG10803","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-08#,#2010-10-08#,"wgEncodeEH000509","GSM736598","Stam","UW","DS12384","WindowDensity-bin20-win+/-75","dd95fe36a80656cd1d6b2877adc1096c",,"hg18","wgEncode",1,"105M",1576,,"wgEncodeUwDnaseAg10803RawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseAg10803RawRep1.bigWig","wgEncodeUwDnaseAg10803RawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg10803RawRep1.bigWig"
"AG10803","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-08#,#2010-10-08#,"wgEncodeEH000509","GSM736633","Stam","UW","DS12374","WindowDensity-bin20-win+/-75","53f69d0322976038879cc74a14cc5298",,"hg18","wgEncode",2,"128M",1555,,"wgEncodeUwDnaseAg10803RawRep2","None","bigWig","RawSignal","wgEncodeUwDnaseAg10803RawRep2.bigWig","wgEncodeUwDnaseAg10803RawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg10803RawRep2.bigWig"
"AoAF","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-07-26#,#2011-04-26#,"wgEncodeEH001161","GSM736583","Stam","UW","DS13523","Hotspot-v5.1","3a657491066d590994f70a305699f15d",,"hg19","wgEncode",1,"2.7M",2052,,"wgEncodeUwDnaseAoafHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseAoafHotspotsRep1.broadPeak.gz","wgEncodeUwDnaseAoafHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAoafHotspotsRep1.broadPeak.gz"
"AoAF","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-07-24#,#2011-04-23#,"wgEncodeEH001161","GSM736505","Stam","UW","DS13513","Hotspot-v5.1","749a975a924afa6fe761db50c7ae4855",,"hg19","wgEncode",2,"2.7M",2038,,"wgEncodeUwDnaseAoafHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseAoafHotspotsRep2.broadPeak.gz","wgEncodeUwDnaseAoafHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAoafHotspotsRep2.broadPeak.gz"
"AoAF","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-07-26#,#2011-04-26#,"wgEncodeEH001161","GSM736583","Stam","UW","DS13523","lmax-v1.0","a707cdfc42d50ec67fc1cb51895ae15e",,"hg19","wgEncode",1,"2.0M",2052,,"wgEncodeUwDnaseAoafPkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseAoafPkRep1.narrowPeak.gz","wgEncodeUwDnaseAoafPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAoafPkRep1.narrowPeak.gz"
"AoAF","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-07-24#,#2011-04-23#,"wgEncodeEH001161","GSM736505","Stam","UW","DS13513","lmax-v1.0","510a4dd82cde4d8ed6f8a133dbc66cb4",,"hg19","wgEncode",2,"1.9M",2038,,"wgEncodeUwDnaseAoafPkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseAoafPkRep2.narrowPeak.gz","wgEncodeUwDnaseAoafPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAoafPkRep2.narrowPeak.gz"
"AoAF","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-07-26#,#2011-04-26#,"wgEncodeEH001161","GSM736583","Stam","UW","DS13523","WindowDensity-bin20-win+/-75","4d8bfa1a1e0c7a6e91447e6685c5d00d",,"hg19","wgEncode",1,"129M",2052,,"wgEncodeUwDnaseAoafRawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseAoafRawRep1.bigWig","wgEncodeUwDnaseAoafRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAoafRawRep1.bigWig"
