"bio_rep","cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","dcc_internal_notes","donor_id","geo_sample_accession","grant","lab","lab_exp_id","lab_protocol_id","lab_version","localization","md5sum","obj_status","project","read_type","replicate","rna_extract","seq_platform","sex","size","spike_in_pool","sub_id","submitted_data_version","table_name","type","view","filename","fname","url"
"088C","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-17#,#2012-05-14#,"wgEncodeEH002624",,,"GSM981246","Gingeras","CSHL","LID45898",,,"cytosol","bed46406712f98093f8f5e6d17d4f52e",,"wgEncode","2x101D",4,"longPolyA","Illumina_HiSeq_2000",,"135M","Nist14",5784,,"wgEncodeCshlLongRnaSeqA549CytosolPapMinusRep4","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqA549CytosolPapMinusRep4.bigWig","wgEncodeCshlLongRnaSeqA549CytosolPapMinusRep4.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CytosolPapMinusRep4.bigWig"
"087C","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-16#,#2012-05-14#,"wgEncodeEH002624",,,"GSM981246","Gingeras","CSHL","LID45897",,,"cytosol","9fadb2172719af5738f57cb8c8fb8f48",,"wgEncode","2x101D",3,"longPolyA","Illumina_HiSeq_2000",,"131M","Nist14",5766,,"wgEncodeCshlLongRnaSeqA549CytosolPapPlusRep3","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqA549CytosolPapPlusRep3.bigWig","wgEncodeCshlLongRnaSeqA549CytosolPapPlusRep3.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CytosolPapPlusRep3.bigWig"
"088C","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-17#,#2012-05-14#,"wgEncodeEH002624",,,"GSM981246","Gingeras","CSHL","LID45898",,,"cytosol","40a36c88e92cb1ca74c87aab8af11f89",,"wgEncode","2x101D",4,"longPolyA","Illumina_HiSeq_2000",,"139M","Nist14",5784,,"wgEncodeCshlLongRnaSeqA549CytosolPapPlusRep4","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqA549CytosolPapPlusRep4.bigWig","wgEncodeCshlLongRnaSeqA549CytosolPapPlusRep4.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CytosolPapPlusRep4.bigWig"
"087N,088N","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-03-16#,#2012-05-14#,"wgEncodeEH002625",,,"GSM981247","Gingeras","CSHL","LID45899,LID45900",,"iIDR","nucleus","48d0dca14b4d57d6b7496ed55518b24f",,"wgEncode","2x101D",,"longPolyA","Illumina_HiSeq_2000",,"28M","Nist14",6036,,"wgEncodeCshlLongRnaSeqA549NucleusPapContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqA549NucleusPapContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqA549NucleusPapContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549NucleusPapContigs.bedRnaElements.gz"
"087N","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-18#,#2012-05-14#,"wgEncodeEH002625",,,"GSM981247","Gingeras","CSHL","LID45899",,,"nucleus","23f311ee241bc3c7cd6b3770672ae946",,"wgEncode","2x101D",3,"longPolyA","Illumina_HiSeq_2000",,"232M","Nist14",5788,,"wgEncodeCshlLongRnaSeqA549NucleusPapMinusRep3","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqA549NucleusPapMinusRep3.bigWig","wgEncodeCshlLongRnaSeqA549NucleusPapMinusRep3.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549NucleusPapMinusRep3.bigWig"
"088N","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-16#,#2012-05-14#,"wgEncodeEH002625",,,"GSM981247","Gingeras","CSHL","LID45900",,,"nucleus","5bb61d77cdff71f7de2e2fabf6fd4b0e",,"wgEncode","2x101D",4,"longPolyA","Illumina_HiSeq_2000",,"193M","Nist14",5763,,"wgEncodeCshlLongRnaSeqA549NucleusPapMinusRep4","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqA549NucleusPapMinusRep4.bigWig","wgEncodeCshlLongRnaSeqA549NucleusPapMinusRep4.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549NucleusPapMinusRep4.bigWig"
"087N","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-18#,#2012-05-14#,"wgEncodeEH002625",,,"GSM981247","Gingeras","CSHL","LID45899",,,"nucleus","7dcd6fd38939dca5b5cdf26bc4734333",,"wgEncode","2x101D",3,"longPolyA","Illumina_HiSeq_2000",,"240M","Nist14",5788,,"wgEncodeCshlLongRnaSeqA549NucleusPapPlusRep3","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqA549NucleusPapPlusRep3.bigWig","wgEncodeCshlLongRnaSeqA549NucleusPapPlusRep3.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549NucleusPapPlusRep3.bigWig"
"088N","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-16#,#2012-05-14#,"wgEncodeEH002625",,,"GSM981247","Gingeras","CSHL","LID45900",,,"nucleus","206d8010e2d43178b4703c67234e5f89",,"wgEncode","2x101D",4,"longPolyA","Illumina_HiSeq_2000",,"199M","Nist14",5763,,"wgEncodeCshlLongRnaSeqA549NucleusPapPlusRep4","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqA549NucleusPapPlusRep4.bigWig","wgEncodeCshlLongRnaSeqA549NucleusPapPlusRep4.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549NucleusPapPlusRep4.bigWig"
"017WC","AG04450","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-10-25#,#2011-07-25#,"wgEncodeEH000179",,,"GSM765396","Gingeras","CSHL","LID9001",,,"cell","f8c0e13d372dfdcd794ace4e67de0995",,"wgEncode","2x76D",1,"longNonPolyA","Illumina_GA2x",,"778M","Nist14",2707,,"wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaMinusRawSigRep1","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaMinusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaMinusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaMinusRawSigRep1.bigWig"
"018WC","AG04450","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-12-23#,#2011-09-23#,"wgEncodeEH000179",,,"GSM765396","Gingeras","CSHL","LID9002",,,"cell","9616613f0f2e7d06199d8be50c40e62a",,"wgEncode","2x76D",2,"longNonPolyA","Illumina_GA2x",,"151M","Nist14",3127,,"wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaMinusRawSigRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaMinusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaMinusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaMinusRawSigRep2.bigWig"
"017WC","AG04450","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-10-25#,#2011-07-25#,"wgEncodeEH000179",,,"GSM765396","Gingeras","CSHL","LID9001",,,"cell","c4f0a60a2ee011be7aa2c0d2df2fd21b",,"wgEncode","2x76D",1,"longNonPolyA","Illumina_GA2x",,"805M","Nist14",2707,,"wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaPlusRawSigRep1","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaPlusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaPlusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaPlusRawSigRep1.bigWig"
"018WC","AG04450","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-12-23#,#2011-09-23#,"wgEncodeEH000179",,,"GSM765396","Gingeras","CSHL","LID9002",,,"cell","4794e5b1f475d044fb924cb6df9523c7",,"wgEncode","2x76D",2,"longNonPolyA","Illumina_GA2x",,"154M","Nist14",3127,,"wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaPlusRawSigRep2","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaPlusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaPlusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellLongnonpolyaPlusRawSigRep2.bigWig"
"017WC,018WC","AG04450","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-02-18#,#2011-11-18#,"wgEncodeEH000179",,,"GSM765396","Gingeras","CSHL","LID9001,LID9002",,"iIDR","cell","52dd695dafe22c5d71ae151577a229c6",,"wgEncode","2x76D",,"longNonPolyA","Illumina_GA2x",,"15M","Nist14",3603,,"wgEncodeCshlLongRnaSeqAg04450CellPamContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqAg04450CellPamContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqAg04450CellPamContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellPamContigs.bedRnaElements.gz"
"017WC,018WC","AG04450","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-02-18#,#2011-11-18#,"wgEncodeEH000144",,,"GSM758561","Gingeras","CSHL","LID8965,LID8966",,"iIDR","cell","07e87488e7af8e706e8f19fe3eb8d2d4",,"wgEncode","2x76D",,"longPolyA","Illumina_GA2x",,"13M","Nist14",3604,,"wgEncodeCshlLongRnaSeqAg04450CellPapContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqAg04450CellPapContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqAg04450CellPapContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellPapContigs.bedRnaElements.gz"
"017WC","AG04450","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000144",,,"GSM758561","Gingeras","CSHL","LID8965",,,"cell","fda0397331ce7ca6ffb9cd2a3d5b7d47",,"wgEncode","2x76D",1,"longPolyA","Illumina_GA2x",,"573M","Nist14",2345,,"wgEncodeCshlLongRnaSeqAg04450CellPapMinusRawSigRep1","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqAg04450CellPapMinusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqAg04450CellPapMinusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellPapMinusRawSigRep1.bigWig"
"018WC","AG04450","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000144",,,"GSM758561","Gingeras","CSHL","LID8966",,,"cell","330b15afad4afaab080e0b5bbd73452d",,"wgEncode","2x76D",2,"longPolyA","Illumina_GA2x",,"535M","Nist14",2406,,"wgEncodeCshlLongRnaSeqAg04450CellPapMinusRawSigRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqAg04450CellPapMinusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqAg04450CellPapMinusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellPapMinusRawSigRep2.bigWig"
"017WC","AG04450","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000144",,,"GSM758561","Gingeras","CSHL","LID8965",,,"cell","63b34dfd670b697a0c2f3d0bfbf9dc05",,"wgEncode","2x76D",1,"longPolyA","Illumina_GA2x",,"588M","Nist14",2345,,"wgEncodeCshlLongRnaSeqAg04450CellPapPlusRawSigRep1","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqAg04450CellPapPlusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqAg04450CellPapPlusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellPapPlusRawSigRep1.bigWig"
"018WC","AG04450","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000144",,,"GSM758561","Gingeras","CSHL","LID8966",,,"cell","1c24ab1724a4df1e8329993651c0f237",,"wgEncode","2x76D",2,"longPolyA","Illumina_GA2x",,"550M","Nist14",2406,,"wgEncodeCshlLongRnaSeqAg04450CellPapPlusRawSigRep2","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqAg04450CellPapPlusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqAg04450CellPapPlusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellPapPlusRawSigRep2.bigWig"
"037WC","BJ","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-12-23#,#2011-09-23#,"wgEncodeEH000185",,,"GSM767855","Gingeras","CSHL","LID9007",,,"cell","ed370ae62ed221ca867ede2a49d889a3",,"wgEncode","2x76D",1,"longNonPolyA","Illumina_GA2x",,"135M","Nist14",3128,,"wgEncodeCshlLongRnaSeqBjCellLongnonpolyaMinusRawSigRep1","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqBjCellLongnonpolyaMinusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqBjCellLongnonpolyaMinusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqBjCellLongnonpolyaMinusRawSigRep1.bigWig"
"038WC","BJ","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-12-23#,#2011-09-23#,"wgEncodeEH000185",,,"GSM767855","Gingeras","CSHL","LID9008",,,"cell","fc1a1d7c0c1bc218dcce280cfa97aba3",,"wgEncode","2x76D",2,"longNonPolyA","Illumina_GA2x",,"134M","Nist14",3129,,"wgEncodeCshlLongRnaSeqBjCellLongnonpolyaMinusRawSigRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqBjCellLongnonpolyaMinusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqBjCellLongnonpolyaMinusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqBjCellLongnonpolyaMinusRawSigRep2.bigWig"
"037WC","BJ","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-12-23#,#2011-09-23#,"wgEncodeEH000185",,,"GSM767855","Gingeras","CSHL","LID9007",,,"cell","f00c37ab459ca81c53191b799b5b3e1e",,"wgEncode","2x76D",1,"longNonPolyA","Illumina_GA2x",,"141M","Nist14",3128,,"wgEncodeCshlLongRnaSeqBjCellLongnonpolyaPlusRawSigRep1","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqBjCellLongnonpolyaPlusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqBjCellLongnonpolyaPlusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqBjCellLongnonpolyaPlusRawSigRep1.bigWig"
