"antibody","cell","composite","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","sub_id","table_name","treatment","type","view","filename","fname","url"
"Input","Fibrobl","wgEncodeOpenChromChip","wgEncodeEH001128","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-14#,#2011-07-14#,"wgEncodeEH001128","GSM822267","Crawford","UT-A","privacy-noSequence fseq v 1.84","eb732363b7174de8db9770eebcdff881",,"hg19","wgEncode",,"input","4.3G",2487,"wgEncodeOpenChromChipFibroblInputSig","None","bigWig","Signal","wgEncodeOpenChromChipFibroblInputSig.bigWig","wgEncodeOpenChromChipFibroblInputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipFibroblInputSig.bigWig"
"CTCF","Gliobla","wgEncodeOpenChromChip","wgEncodeEH001129","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-20#,#2011-07-19#,"wgEncodeEH001135","GSM822303","Crawford","UT-A","baseAlignCounts.pl v 1","a08838e65d616457cd30fadae6f7a3e1",,"hg19","wgEncode",,"exp","464M",2516,"wgEncodeOpenChromChipGlioblaCtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGlioblaCtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipGlioblaCtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGlioblaCtcfBaseOverlapSignal.bigWig"
"CTCF","Gliobla","wgEncodeOpenChromChip","wgEncodeEH001129","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-20#,#2011-07-19#,"wgEncodeEH001135","GSM822303","Crawford","UT-A","p-value cutoff: 0.05","e27c1acde99518f5f34f251f54c957a2",,"hg19","wgEncode",,"exp","1.2M",2516,"wgEncodeOpenChromChipGlioblaCtcfPkRep1","None","narrowPeak","Peaks","wgEncodeOpenChromChipGlioblaCtcfPkRep1.narrowPeak.gz","wgEncodeOpenChromChipGlioblaCtcfPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGlioblaCtcfPkRep1.narrowPeak.gz"
"CTCF","Gliobla","wgEncodeOpenChromChip","wgEncodeEH001129","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-20#,#2011-07-19#,"wgEncodeEH001135","GSM822303","Crawford","UT-A","fseq v 1.84, iff_H54","7dfd806cf4dbbfa9980babf5711ab159",,"hg19","wgEncode",,"exp","4.6G",2516,"wgEncodeOpenChromChipGlioblaCtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipGlioblaCtcfSig.bigWig","wgEncodeOpenChromChipGlioblaCtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGlioblaCtcfSig.bigWig"
"Input","Gliobla","wgEncodeOpenChromChip","wgEncodeEH001129","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001129","GSM822268","Crawford","UT-A","fseq v 1.84","ec236967dbddff045a95b8762ee6839f",,"hg19","wgEncode",,"input","4.4G",2499,"wgEncodeOpenChromChipGlioblaInputSig","None","bigWig","Signal","wgEncodeOpenChromChipGlioblaInputSig.bigWig","wgEncodeOpenChromChipGlioblaInputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGlioblaInputSig.bigWig"
"Pol2","Gliobla","wgEncodeOpenChromChip","wgEncodeEH001129","ChipSeq","ENCODE Jan 2011 Freeze",,#2011-01-17#,#2011-10-17#,"wgEncodeEH001136","GSM822302","Crawford","UT-A","baseAlignCounts.pl v 1","d39e100ae543ad90c4d0092a6c0436f9",,"hg19","wgEncode",,"exp","1.1G",3272,"wgEncodeOpenChromChipGlioblaPol2BaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGlioblaPol2BaseOverlapSignal.bigWig","wgEncodeOpenChromChipGlioblaPol2BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGlioblaPol2BaseOverlapSignal.bigWig"
"Pol2","Gliobla","wgEncodeOpenChromChip","wgEncodeEH001129","ChipSeq","ENCODE Jan 2011 Freeze",,#2011-01-17#,#2011-10-17#,"wgEncodeEH001136","GSM822302","Crawford","UT-A","p-value cutoff: 0.05","97a044a6db51ad201006ae8fa72c21f6",,"hg19","wgEncode",,"exp","1.2M",3272,"wgEncodeOpenChromChipGlioblaPol2PkRep1","None","narrowPeak","Peaks","wgEncodeOpenChromChipGlioblaPol2PkRep1.narrowPeak.gz","wgEncodeOpenChromChipGlioblaPol2PkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGlioblaPol2PkRep1.narrowPeak.gz"
"Pol2","Gliobla","wgEncodeOpenChromChip","wgEncodeEH001129","ChipSeq","ENCODE Jan 2011 Freeze",,#2011-01-17#,#2011-10-17#,"wgEncodeEH001136","GSM822302","Crawford","UT-A","fseq v 1.84, iff_H54","dea5a9191b4693da6421a0c35fbca3b0",,"hg19","wgEncode",,"exp","2.6G",3272,"wgEncodeOpenChromChipGlioblaPol2Sig","None","bigWig","Signal","wgEncodeOpenChromChipGlioblaPol2Sig.bigWig","wgEncodeOpenChromChipGlioblaPol2Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGlioblaPol2Sig.bigWig"
"CTCF","GM10248","wgEncodeOpenChromChip","wgEncodeEH003442","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-26#,"wgEncodeEH003446","GSM1006891","Crawford","UT-A","baseAlignCounts.pl v 1","8c78183239dc6ed65bd794cc374814f4",,,"wgEncode",1,"exp","1.1G",7690,"wgEncodeOpenChromChipGm10248CtcfBaseOverlapSignalRep1",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm10248CtcfBaseOverlapSignalRep1.bigWig","wgEncodeOpenChromChipGm10248CtcfBaseOverlapSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm10248CtcfBaseOverlapSignalRep1.bigWig"
"CTCF","GM10248","wgEncodeOpenChromChip","wgEncodeEH003442","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-26#,"wgEncodeEH003446","GSM1006891","Crawford","UT-A","p-value cutoff: 0.05","285966ae09ce968994fae18e23a07669",,,"wgEncode",1,"exp","1.4M",7690,"wgEncodeOpenChromChipGm10248CtcfPkRep1",,"narrowPeak","Peaks","wgEncodeOpenChromChipGm10248CtcfPkRep1.narrowPeak.gz","wgEncodeOpenChromChipGm10248CtcfPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm10248CtcfPkRep1.narrowPeak.gz"
"CTCF","GM10248","wgEncodeOpenChromChip","wgEncodeEH003442","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-26#,"wgEncodeEH003446","GSM1006891","Crawford","UT-A","fseq v 1.84, iff_GM10248","839dd902de3857ad37d8ea3fed4fc698",,,"wgEncode",1,"exp","4.2G",7690,"wgEncodeOpenChromChipGm10248CtcfSigRep1",,"bigWig","Signal","wgEncodeOpenChromChipGm10248CtcfSigRep1.bigWig","wgEncodeOpenChromChipGm10248CtcfSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm10248CtcfSigRep1.bigWig"
"Input","GM10248","wgEncodeOpenChromChip","wgEncodeEH003442","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003442","GSM1006895","Crawford","UT-A","fseq v 1.84","212ecb150e275aae6aad859ae8d20881",,,"wgEncode",,"input","3.1G",7517,"wgEncodeOpenChromChipGm10248InputSig",,"bigWig","Signal","wgEncodeOpenChromChipGm10248InputSig.bigWig","wgEncodeOpenChromChipGm10248InputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm10248InputSig.bigWig"
"CTCF","GM10266","wgEncodeOpenChromChip","wgEncodeEH003447","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-30#,#2013-04-29#,"wgEncodeEH003457","GSM1006870","Crawford","UT-A","baseAlignCounts.pl v 1","e2506799701495ce772d4908633548af",,,"wgEncode",1,"exp","1.2G",7534,"wgEncodeOpenChromChipGm10266CtcfBaseOverlapSignalRep1",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm10266CtcfBaseOverlapSignalRep1.bigWig","wgEncodeOpenChromChipGm10266CtcfBaseOverlapSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm10266CtcfBaseOverlapSignalRep1.bigWig"
"CTCF","GM10266","wgEncodeOpenChromChip","wgEncodeEH003447","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-30#,#2013-04-29#,"wgEncodeEH003457","GSM1006870","Crawford","UT-A","p-value cutoff: 0.05","a3a7daa60e6440de140376f4e7603835",,,"wgEncode",1,"exp","1.3M",7534,"wgEncodeOpenChromChipGm10266CtcfPkRep1",,"narrowPeak","Peaks","wgEncodeOpenChromChipGm10266CtcfPkRep1.narrowPeak.gz","wgEncodeOpenChromChipGm10266CtcfPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm10266CtcfPkRep1.narrowPeak.gz"
"CTCF","GM10266","wgEncodeOpenChromChip","wgEncodeEH003447","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-30#,#2013-04-29#,"wgEncodeEH003457","GSM1006870","Crawford","UT-A","fseq v 1.84, iff_GM10266","364e2aa5648d2ec0077d6db39cc79921",,,"wgEncode",1,"exp","4.3G",7534,"wgEncodeOpenChromChipGm10266CtcfSigRep1",,"bigWig","Signal","wgEncodeOpenChromChipGm10266CtcfSigRep1.bigWig","wgEncodeOpenChromChipGm10266CtcfSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm10266CtcfSigRep1.bigWig"
"Input","GM10266","wgEncodeOpenChromChip","wgEncodeEH003447","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-26#,"wgEncodeEH003447","GSM1006890","Crawford","UT-A","fseq v 1.84","f651996bd2196690a97762237eb9bfc2",,,"wgEncode",,"input","3.9G",7518,"wgEncodeOpenChromChipGm10266InputSig",,"bigWig","Signal","wgEncodeOpenChromChipGm10266InputSig.bigWig","wgEncodeOpenChromChipGm10266InputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm10266InputSig.bigWig"
"c-Myc","GM12878","wgEncodeOpenChromChip","wgEncodeEH000528","ChipSeq","ENCODE June 2010 Freeze",#2010-06-02#,#2009-09-08#,#2010-06-08#,"wgEncodeEH000547","GSM822290","Crawford","UT-A","baseAlignCounts.pl v 1","c541180cfc5e956ad595e8ed9ce3d777",,"hg18","wgEncode",,"exp","137M",1229,"wgEncodeOpenChromChipGm12878CmycBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm12878CmycBaseOverlapSignal.bigWig","wgEncodeOpenChromChipGm12878CmycBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12878CmycBaseOverlapSignal.bigWig"
"c-Myc","GM12878","wgEncodeOpenChromChip","wgEncodeEH000528","ChipSeq","ENCODE June 2010 Freeze",#2010-06-02#,#2009-09-08#,#2010-06-08#,"wgEncodeEH000547","GSM822290","Crawford","UT-A","p-value cutoff: 0.001","06cbc50b630d710ae406dfce63ec642e",,"hg18","wgEncode",,"exp","373K",1229,"wgEncodeOpenChromChipGm12878CmycPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipGm12878CmycPk.narrowPeak.gz","wgEncodeOpenChromChipGm12878CmycPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12878CmycPk.narrowPeak.gz"
"c-Myc","GM12878","wgEncodeOpenChromChip","wgEncodeEH000528","ChipSeq","ENCODE June 2010 Freeze",#2010-06-02#,#2009-09-08#,#2010-06-08#,"wgEncodeEH000547","GSM822290","Crawford","UT-A","fseq v 1.84, iff_GM12878","4aaf1ff788c2e45d2c7a067e8f9a3c6b",,"hg18","wgEncode",,"exp","3.1G",1229,"wgEncodeOpenChromChipGm12878CmycSig","None","bigWig","Signal","wgEncodeOpenChromChipGm12878CmycSig.bigWig","wgEncodeOpenChromChipGm12878CmycSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12878CmycSig.bigWig"
"CTCF","GM12878","wgEncodeOpenChromChip","wgEncodeEH000528","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-01#,#2011-07-01#,"wgEncodeEH000532","GSM822312","Crawford","UT-A","baseAlignCounts.pl v 1","a2fc6645e422a6e460c66140efa93422",,"hg18","wgEncode",,"exp","172M",2449,"wgEncodeOpenChromChipGm12878CtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm12878CtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipGm12878CtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12878CtcfBaseOverlapSignal.bigWig"
"CTCF","GM12878","wgEncodeOpenChromChip","wgEncodeEH000528","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-01#,#2011-07-01#,"wgEncodeEH000532","GSM822312","Crawford","UT-A","p-value cutoff: 0.05","a6f856eb3742b57cd1515cf4669b620d",,"hg18","wgEncode",,"exp","1.3M",2449,"wgEncodeOpenChromChipGm12878CtcfPkRep1","None","narrowPeak","Peaks","wgEncodeOpenChromChipGm12878CtcfPkRep1.narrowPeak.gz","wgEncodeOpenChromChipGm12878CtcfPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12878CtcfPkRep1.narrowPeak.gz"
"CTCF","GM12878","wgEncodeOpenChromChip","wgEncodeEH000528","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-01#,#2011-07-01#,"wgEncodeEH000532","GSM822312","Crawford","UT-A","fseq v 1.84, iff_GM12878","9f97e9172995f5241263237eb5e91b20",,"hg18","wgEncode",,"exp","3.7G",2449,"wgEncodeOpenChromChipGm12878CtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipGm12878CtcfSig.bigWig","wgEncodeOpenChromChipGm12878CtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12878CtcfSig.bigWig"
"Input","GM12878","wgEncodeOpenChromChip","wgEncodeEH000528","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2008-11-07#,#2009-07-07#,"wgEncodeEH000528","GSM822292","Crawford","UT-A","fseq v 1.84","c8ac97d5267c4a404cc519c3057e5751",,"hg18","wgEncode",,"input","4.3G",1518,"wgEncodeOpenChromChipGm12878InputSig","None","bigWig","Signal","wgEncodeOpenChromChipGm12878InputSig.bigWig","wgEncodeOpenChromChipGm12878InputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12878InputSig.bigWig"
"Pol2","GM12878","wgEncodeOpenChromChip","wgEncodeEH000528","ChipSeq","ENCODE June 2010 Freeze",#2010-06-15#,#2009-12-23#,#2010-09-22#,"wgEncodeEH000592","GSM822270","Crawford","UT-A","baseAlignCounts.pl v 1","759f21263591ed1916db81b7d426ddde",,"hg18","wgEncode",,"exp","179M",1478,"wgEncodeOpenChromChipGm12878Pol2BaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm12878Pol2BaseOverlapSignal.bigWig","wgEncodeOpenChromChipGm12878Pol2BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12878Pol2BaseOverlapSignal.bigWig"
"Pol2","GM12878","wgEncodeOpenChromChip","wgEncodeEH000528","ChipSeq","ENCODE June 2010 Freeze",#2010-06-15#,#2009-12-23#,#2010-09-22#,"wgEncodeEH000592","GSM822270","Crawford","UT-A","p-value cutoff: 0.05","15373f463f3d6821047e8a4167a978c1",,"hg18","wgEncode",,"exp","2.1M",1478,"wgEncodeOpenChromChipGm12878Pol2Pk","None","narrowPeak","Peaks","wgEncodeOpenChromChipGm12878Pol2Pk.narrowPeak.gz","wgEncodeOpenChromChipGm12878Pol2Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12878Pol2Pk.narrowPeak.gz"
"Pol2","GM12878","wgEncodeOpenChromChip","wgEncodeEH000528","ChipSeq","ENCODE June 2010 Freeze",#2010-06-15#,#2009-12-23#,#2010-09-22#,"wgEncodeEH000592","GSM822270","Crawford","UT-A","fseq v 1.84, iff_GM12878","216df87085ad3667fe9963c01f4a0756",,"hg18","wgEncode",,"exp","2.1G",1478,"wgEncodeOpenChromChipGm12878Pol2Sig","None","bigWig","Signal","wgEncodeOpenChromChipGm12878Pol2Sig.bigWig","wgEncodeOpenChromChipGm12878Pol2Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12878Pol2Sig.bigWig"
"CTCF","GM12891","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-06#,#2010-07-06#,"wgEncodeEH000569","GSM822294","Crawford","UT-A","baseAlignCounts.pl v 1","9ffdfb5b6d776952ef20220eaf71184c",,"hg18","wgEncode",,"exp","137M",1490,"wgEncodeOpenChromChipGm12891CtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm12891CtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipGm12891CtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12891CtcfBaseOverlapSignal.bigWig"
