"biological_category","technology","extract_name","comment__rna_tube_","comment__sample_name_","comment__organism_","protocol_ref","parameter__rna_extraction_","extract_name_1","comment__rna_id_","comment__material_type_","comment__comment_on_rna_","protocol_ref_1","comment__lsid_","parameter__library_protocol_","library_name","comment__library_id_","protocol_ref_2","parameter__sequence_protocol_","parameter__machine_name_","parameter__run_name_","parameter__flowcell_channel_","file_name","comment__sequence_raw_file_","protocol_ref_3","parameter__sex_","file_name_1","fname","url"
"Cell line","HeliScopeCAGE","11891-125E1","11891-125E1","Hep-2 cells treated with Streptococci strain 5448, biol_rep2","Homo sapiens","standard whole cell","standard whole cell","11891-125E1.rna","11891-125E1.rna","total RNA","comment:Sample category:""FANTOM5 update 26May2011""; RNA lot number:""1b"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.5; A260A280:2; A260A230:2.08","OP-HELISCOPE-CAGE-v4.0",1025,"OP-HELISCOPE-CAGE-v4.0","CNhs13496","CNhs13496","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch08","/sequencedata/heliscope/srf/2011_05_20_R4_30Q_1100FOV/","/sequencedata/heliscope/srf/2011_05_20_R4_30Q_1100FOV/","delve_align","male","Hep-2%20cells%20treated%20with%20Streptococci%20strain%205448%2c%20biol_rep2.CNhs13496.11891-125E1.hg19.nobarcode.bam","cell_line.hCAGE-Hep-2 cells treated with Streptococci strain 5448, biol_rep2.CNhs13496.11891-125E1.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Hep-2%2520cells%2520treated%2520with%2520Streptococci%2520strain%25205448%252c%2520biol_rep2.CNhs13496.11891-125E1.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","11892-125E2","11892-125E2","Hep-2 cells treated with Streptococci strain 5448, biol_rep3","Homo sapiens","standard whole cell","standard whole cell","11892-125E2.rna","11892-125E2.rna","total RNA","comment:Sample category:""FANTOM5 update 26May2011""; RNA lot number:""1c"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.7; A260A280:2.01; A260A230:2.16","OP-HELISCOPE-CAGE-v4.0",1025,"OP-HELISCOPE-CAGE-v4.0","CNhs13497","CNhs13497","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch05","/sequencedata/heliscope/srf/2011_05_20_R4_30Q_1100FOV/","/sequencedata/heliscope/srf/2011_05_20_R4_30Q_1100FOV/","delve_align","male","Hep-2%20cells%20treated%20with%20Streptococci%20strain%205448%2c%20biol_rep3.CNhs13497.11892-125E2.hg19.nobarcode.bam","cell_line.hCAGE-Hep-2 cells treated with Streptococci strain 5448, biol_rep3.CNhs13497.11892-125E2.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Hep-2%2520cells%2520treated%2520with%2520Streptococci%2520strain%25205448%252c%2520biol_rep3.CNhs13497.11892-125E2.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","11894-125E4","11894-125E4","Hep-2 cells treated with Streptococci strain JRS4, biol_rep1","Homo sapiens","standard whole cell","standard whole cell","11894-125E4.rna","11894-125E4.rna","total RNA","comment:Sample category:""FANTOM5 update 26May2011""; RNA lot number:""2a"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.5; A260A280:2.03; A260A230:1.47","OP-HELISCOPE-CAGE-v4.0",1024,"OP-HELISCOPE-CAGE-v4.0","CNhs13478","CNhs13478","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc2.ch15","/sequencedata/heliscope/srf/2011_05_26_R2_30Q_1100FOV","/sequencedata/heliscope/srf/2011_05_26_R2_30Q_1100FOV","delve_align","male","Hep-2%20cells%20treated%20with%20Streptococci%20strain%20JRS4%2c%20biol_rep1.CNhs13478.11894-125E4.hg19.nobarcode.bam","cell_line.hCAGE-Hep-2 cells treated with Streptococci strain JRS4, biol_rep1.CNhs13478.11894-125E4.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Hep-2%2520cells%2520treated%2520with%2520Streptococci%2520strain%2520JRS4%252c%2520biol_rep1.CNhs13478.11894-125E4.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","11895-125E5","11895-125E5","Hep-2 cells treated with Streptococci strain JRS4, biol_rep2","Homo sapiens","standard whole cell","standard whole cell","11895-125E5.rna","11895-125E5.rna","total RNA","comment:Sample category:""FANTOM5 update 26May2011""; RNA lot number:""2b"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.6; A260A280:2.02; A260A230:2.03","OP-HELISCOPE-CAGE-v4.0",1025,"OP-HELISCOPE-CAGE-v4.0","CNhs13498","CNhs13498","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch02","/sequencedata/heliscope/srf/2011_05_20_R4_30Q_1100FOV/","/sequencedata/heliscope/srf/2011_05_20_R4_30Q_1100FOV/","delve_align","male","Hep-2%20cells%20treated%20with%20Streptococci%20strain%20JRS4%2c%20biol_rep2.CNhs13498.11895-125E5.hg19.nobarcode.bam","cell_line.hCAGE-Hep-2 cells treated with Streptococci strain JRS4, biol_rep2.CNhs13498.11895-125E5.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Hep-2%2520cells%2520treated%2520with%2520Streptococci%2520strain%2520JRS4%252c%2520biol_rep2.CNhs13498.11895-125E5.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","11896-125E6","11896-125E6","Hep-2 cells treated with Streptococci strain JRS4, biol_rep3","Homo sapiens","standard whole cell","standard whole cell","11896-125E6.rna","11896-125E6.rna","total RNA","comment:Sample category:""FANTOM5 update 26May2011""; RNA lot number:""2c"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.6; A260A280:2.03; A260A230:1.88","OP-HELISCOPE-CAGE-v4.0",1025,"OP-HELISCOPE-CAGE-v4.0","CNhs13499","CNhs13499","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch24","/sequencedata/heliscope/srf/2011_05_20_R4_30Q_1100FOV/","/sequencedata/heliscope/srf/2011_05_20_R4_30Q_1100FOV/","delve_align","male","Hep-2%20cells%20treated%20with%20Streptococci%20strain%20JRS4%2c%20biol_rep3.CNhs13499.11896-125E6.hg19.nobarcode.bam","cell_line.hCAGE-Hep-2 cells treated with Streptococci strain JRS4, biol_rep3.CNhs13499.11896-125E6.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Hep-2%2520cells%2520treated%2520with%2520Streptococci%2520strain%2520JRS4%252c%2520biol_rep3.CNhs13499.11896-125E6.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","10435-106E3","10435-106E3","Hodgkin's lymphoma cell line:HD-Mar2","Homo sapiens","standard whole cell","standard whole cell","10435-106E3.rna","10435-106E3.rna","total RNA","comment:Sample category:""FANTOM5 cell line""; company:""RIKEN Bioresource centre""; RNA lot number:""""; RNA Catalog number:""""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.09; A260A230:1.12","OP-HELISCOPE-CAGE-v4.0",819,"OP-HELISCOPE-CAGE-v4.0","CNhs11715","CNhs11715","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch11","/sequencedata/heliscope/srf/2010_12_10_R4_30Q_1100FOV","/sequencedata/heliscope/srf/2010_12_10_R4_30Q_1100FOV","delve_align","unknown_sex_type","Hodgkin%27s%20lymphoma%20cell%20line%3aHD-Mar2.CNhs11715.10435-106E3.hg19.nobarcode.bam","cell_line.hCAGE-Hodgkin's lymphoma cell line:HD-Mar2.CNhs11715.10435-106E3.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Hodgkin%2527s%2520lymphoma%2520cell%2520line%253aHD-Mar2.CNhs11715.10435-106E3.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","10687-109F3","10687-109F3","Krukenberg tumor cell line:HSKTC","Homo sapiens","standard whole cell","standard whole cell","10687-109F3.rna","10687-109F3.rna","total RNA","comment:Sample category:""FANTOM5 cell line""; company:""RIKEN Bioresource centre""; cell catalog:""RCB0515 "";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.11; A260A230:2.01","OP-HELISCOPE-CAGE-v4.0",829,"OP-HELISCOPE-CAGE-v4.0","CNhs11822","CNhs11822","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch03","/sequencedata/heliscope/srf/2011_2_11_RikenRun8","/sequencedata/heliscope/srf/2011_2_11_RikenRun8","delve_align","female","Krukenberg%20tumor%20cell%20line%3aHSKTC.CNhs11822.10687-109F3.hg19.nobarcode.bam","cell_line.hCAGE-Krukenberg tumor cell line:HSKTC.CNhs11822.10687-109F3.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Krukenberg%2520tumor%2520cell%2520line%253aHSKTC.CNhs11822.10687-109F3.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","10777-110G3","10777-110G3","NK T cell leukemia cell line:KHYG-1","Homo sapiens","standard whole cell","standard whole cell","10777-110G3.rna","10777-110G3.rna","total RNA","comment:Sample category:""FANTOM5 cell line""; company:""JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank""; cell catalog:""jcrb0156 "";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.07; A260A230:2.14","OP-HELISCOPE-CAGE-v4.0",830,"OP-HELISCOPE-CAGE-v4.0","CNhs11867","CNhs11867","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch12","/sequencedata/heliscope/srf/2011_1_10_Riken_Run3_1100FOV","/sequencedata/heliscope/srf/2011_1_10_Riken_Run3_1100FOV","delve_align","female","NK%20T%20cell%20leukemia%20cell%20line%3aKHYG-1.CNhs11867.10777-110G3.hg19.nobarcode.bam","cell_line.hCAGE-NK T cell leukemia cell line:KHYG-1.CNhs11867.10777-110G3.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/NK%2520T%2520cell%2520leukemia%2520cell%2520line%253aKHYG-1.CNhs11867.10777-110G3.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","10809-111A8","10809-111A8","Wilms' tumor cell line:G-401","Homo sapiens","standard whole cell","standard whole cell","10809-111A8.rna","10809-111A8.rna","total RNA","comment:Sample category:""FANTOM5 cell line""; company:""JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank""; cell catalog:""jcrb9065 "";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.06; A260A230:2.07","OP-HELISCOPE-CAGE-v4.0",830,"OP-HELISCOPE-CAGE-v4.0","CNhs11892","CNhs11892","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc2.ch09","/sequencedata/heliscope/srf/2011_1_10_Riken_Run3_1100FOV","/sequencedata/heliscope/srf/2011_1_10_Riken_Run3_1100FOV","delve_align","male","Wilms%27%20tumor%20cell%20line%3aG-401.CNhs11892.10809-111A8.hg19.nobarcode.bam","cell_line.hCAGE-Wilms' tumor cell line:G-401.CNhs11892.10809-111A8.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Wilms%2527%2520tumor%2520cell%2520line%253aG-401.CNhs11892.10809-111A8.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","10597-108E3","10597-108E3","Wilms' tumor cell line:HFWT","Homo sapiens","standard whole cell","standard whole cell","10597-108E3.rna","10597-108E3.rna","total RNA","comment:Sample category:""FANTOM5 update November1""; company:""RIKEN Bioresource centre""; cell catalog:""RCB0665 "";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:3.6; A260A280:2.13; A260A230:1.93","OP-HELISCOPE-CAGE-v4.0",819,"OP-HELISCOPE-CAGE-v4.0","CNhs11728","CNhs11728","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc2.ch19","/sequencedata/heliscope/srf/2010_12_10_R4_30Q_1100FOV","/sequencedata/heliscope/srf/2010_12_10_R4_30Q_1100FOV","delve_align","male","Wilms%27%20tumor%20cell%20line%3aHFWT.CNhs11728.10597-108E3.hg19.nobarcode.bam","cell_line.hCAGE-Wilms' tumor cell line:HFWT.CNhs11728.10597-108E3.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Wilms%2527%2520tumor%2520cell%2520line%253aHFWT.CNhs11728.10597-108E3.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","10717-109I6","10717-109I6","acantholytic squamous carcinoma cell line:HCC1806","Homo sapiens","standard whole cell","standard whole cell","10717-109I6.rna","10717-109I6.rna","total RNA","comment:Sample category:""FANTOM5 cell line""; company:""ATCC""; cell catalog:""CRL-2335"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.07; A260A230:1.79","OP-HELISCOPE-CAGE-v4.0",829,"OP-HELISCOPE-CAGE-v4.0","CNhs11844","CNhs11844","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch09","/sequencedata/heliscope/srf/2011_03_04_R2_30Q_1100FOV","/sequencedata/heliscope/srf/2011_03_04_R2_30Q_1100FOV","delve_align","female","acantholytic%20squamous%20carcinoma%20cell%20line%3aHCC1806.CNhs11844.10717-109I6.hg19.nobarcode.bam","cell_line.hCAGE-acantholytic squamous carcinoma cell line:HCC1806.CNhs11844.10717-109I6.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/acantholytic%2520squamous%2520carcinoma%2520cell%2520line%253aHCC1806.CNhs11844.10717-109I6.hg19.ctss.bed.gz"
