"bio_rep","cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","donor_id","geo_sample_accession","grant","lab","lab_exp_id","lab_version","localization","md5sum","obj_status","project","read_type","replicate","rna_extract","seq_platform","sex","size","software_version","sub_id","submitted_data_version","table_name","type","view","filename","fname","url"
"087N","A549","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002737",,"GSM979633","Gingeras","RIKEN","CThi10106",,"nucleus","3a6e65f30ef737261aca751e9da261cd",,"wgEncode","1x50",3,"longPolyA","Illumina_HiSeq_2000",,"36M",,6608,,"wgEncodeRikenCageA549NucleusPapPlusRawRep3","bigWig","PlusSignal","wgEncodeRikenCageA549NucleusPapPlusRawRep3.bigWig","wgEncodeRikenCageA549NucleusPapPlusRawRep3.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549NucleusPapPlusRawRep3.bigWig"
"088N","A549","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002737",,"GSM979633","Gingeras","RIKEN","CThi10060",,"nucleus","fa33f011425e6b9cb4db74dc538a2862",,"wgEncode","1x50",4,"longPolyA","Illumina_HiSeq_2000",,"61M",,6627,,"wgEncodeRikenCageA549NucleusPapPlusRawRep4","bigWig","PlusSignal","wgEncodeRikenCageA549NucleusPapPlusRawRep4.bigWig","wgEncodeRikenCageA549NucleusPapPlusRawRep4.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549NucleusPapPlusRawRep4.bigWig"
"017WC","AG04450","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2011-01-21#,#2011-10-21#,"wgEncodeEH001159",,"GSM849358","Gingeras","RIKEN","K12",,"cell","f0a6517e60934654068bdc9e403abb1e",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"68M",,3479,,"wgEncodeRikenCageAg04450CellPapMinusSignalRep1","bigWig","MinusSignal","wgEncodeRikenCageAg04450CellPapMinusSignalRep1.bigWig","wgEncodeRikenCageAg04450CellPapMinusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageAg04450CellPapMinusSignalRep1.bigWig"
"018WC","AG04450","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2011-01-21#,#2011-10-21#,"wgEncodeEH001159",,"GSM849358","Gingeras","RIKEN","K13",,"cell","a5a9e730880d6f3d05f9bcbf476ed337",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"62M",,3480,,"wgEncodeRikenCageAg04450CellPapMinusSignalRep2","bigWig","MinusSignal","wgEncodeRikenCageAg04450CellPapMinusSignalRep2.bigWig","wgEncodeRikenCageAg04450CellPapMinusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageAg04450CellPapMinusSignalRep2.bigWig"
"017WC","AG04450","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2011-01-21#,#2011-10-21#,"wgEncodeEH001159",,"GSM849358","Gingeras","RIKEN","K12",,"cell","3655e816beecbbf279250e30a9691b66",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"70M",,3479,,"wgEncodeRikenCageAg04450CellPapPlusSignalRep1","bigWig","PlusSignal","wgEncodeRikenCageAg04450CellPapPlusSignalRep1.bigWig","wgEncodeRikenCageAg04450CellPapPlusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageAg04450CellPapPlusSignalRep1.bigWig"
"018WC","AG04450","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2011-01-21#,#2011-10-21#,"wgEncodeEH001159",,"GSM849358","Gingeras","RIKEN","K13",,"cell","3582ebe3e115d576f987a5f5b61e04e4",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"64M",,3480,,"wgEncodeRikenCageAg04450CellPapPlusSignalRep2","bigWig","PlusSignal","wgEncodeRikenCageAg04450CellPapPlusSignalRep2.bigWig","wgEncodeRikenCageAg04450CellPapPlusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageAg04450CellPapPlusSignalRep2.bigWig"
"037WC","BJ","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2011-01-21#,#2011-10-21#,"wgEncodeEH001160",,"GSM849328","Gingeras","RIKEN","K18",,"cell","364067cd07ff38b75ad2e65b2d244d31",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"59M",,3483,,"wgEncodeRikenCageBjCellPapMinusSignalRep1","bigWig","MinusSignal","wgEncodeRikenCageBjCellPapMinusSignalRep1.bigWig","wgEncodeRikenCageBjCellPapMinusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageBjCellPapMinusSignalRep1.bigWig"
"038WC","BJ","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2011-01-21#,#2011-10-21#,"wgEncodeEH001160",,"GSM849328","Gingeras","RIKEN","K19",,"cell","af499c5f6e76233e78ab0c07f9676b51",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"63M",,3484,,"wgEncodeRikenCageBjCellPapMinusSignalRep2","bigWig","MinusSignal","wgEncodeRikenCageBjCellPapMinusSignalRep2.bigWig","wgEncodeRikenCageBjCellPapMinusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageBjCellPapMinusSignalRep2.bigWig"
"037WC","BJ","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2011-01-21#,#2011-10-21#,"wgEncodeEH001160",,"GSM849328","Gingeras","RIKEN","K18",,"cell","f8a208df77bad82c559a9c79454b27cc",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"61M",,3483,,"wgEncodeRikenCageBjCellPapPlusSignalRep1","bigWig","PlusSignal","wgEncodeRikenCageBjCellPapPlusSignalRep1.bigWig","wgEncodeRikenCageBjCellPapPlusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageBjCellPapPlusSignalRep1.bigWig"
"038WC","BJ","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2011-01-21#,#2011-10-21#,"wgEncodeEH001160",,"GSM849328","Gingeras","RIKEN","K19",,"cell","e8984fe76c3bf0b9808485aca37169dc",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"65M",,3484,,"wgEncodeRikenCageBjCellPapPlusSignalRep2","bigWig","PlusSignal","wgEncodeRikenCageBjCellPapPlusSignalRep2.bigWig","wgEncodeRikenCageBjCellPapPlusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageBjCellPapPlusSignalRep2.bigWig"
"041WC","CD20+","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002738","RO01794","GSM979634","Gingeras","RIKEN","CThi10023",,"cell","2053bfd291ad4fec1ffaea1a5517828b",,"wgEncode","1x50",1,"longPolyA","Illumina_HiSeq_2000",,"25M",,6625,,"wgEncodeRikenCageCd20CellPapMinusRawRep1","bigWig","MinusSignal","wgEncodeRikenCageCd20CellPapMinusRawRep1.bigWig","wgEncodeRikenCageCd20CellPapMinusRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageCd20CellPapMinusRawRep1.bigWig"
"042WC","CD20+","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002738","RO01778","GSM979634","Gingeras","RIKEN","CThi10024",,"cell","0ea0e0130caaa4463c8df320d520d47e",,"wgEncode","1x50",2,"longPolyA","Illumina_HiSeq_2000",,"24M",,6647,,"wgEncodeRikenCageCd20CellPapMinusRawRep2","bigWig","MinusSignal","wgEncodeRikenCageCd20CellPapMinusRawRep2.bigWig","wgEncodeRikenCageCd20CellPapMinusRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageCd20CellPapMinusRawRep2.bigWig"
"041WC","CD20+","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002738","RO01794","GSM979634","Gingeras","RIKEN","CThi10023",,"cell","8b23418535fdb54eef063a684eb7380e",,"wgEncode","1x50",1,"longPolyA","Illumina_HiSeq_2000",,"23M",,6625,,"wgEncodeRikenCageCd20CellPapPlusRawRep1","bigWig","PlusSignal","wgEncodeRikenCageCd20CellPapPlusRawRep1.bigWig","wgEncodeRikenCageCd20CellPapPlusRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageCd20CellPapPlusRawRep1.bigWig"
"042WC","CD20+","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002738","RO01778","GSM979634","Gingeras","RIKEN","CThi10024",,"cell","290e3fee55b7c60fd32b705c1a012255",,"wgEncode","1x50",2,"longPolyA","Illumina_HiSeq_2000",,"23M",,6647,,"wgEncodeRikenCageCd20CellPapPlusRawRep2","bigWig","PlusSignal","wgEncodeRikenCageCd20CellPapPlusRawRep2.bigWig","wgEncodeRikenCageCd20CellPapPlusRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageCd20CellPapPlusRawRep2.bigWig"
"043WC","CD34+_Mobilized","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002739",,"GSM979635","Gingeras","RIKEN","CThi10058",,"cell","d9ad2b6901d7044ac738e80d537c8cad",,"wgEncode","1x50",1,"longPolyA","Illumina_HiSeq_2000",,"35M",,6618,,"wgEncodeRikenCageCd34mobilizedCellPapMinusRawRep1","bigWig","MinusSignal","wgEncodeRikenCageCd34mobilizedCellPapMinusRawRep1.bigWig","wgEncodeRikenCageCd34mobilizedCellPapMinusRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageCd34mobilizedCellPapMinusRawRep1.bigWig"
"043WC","CD34+_Mobilized","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002739",,"GSM979635","Gingeras","RIKEN","CThi10058",,"cell","b2ccda5c3c3645069e2cb640a85c4e98",,"wgEncode","1x50",1,"longPolyA","Illumina_HiSeq_2000",,"33M",,6618,,"wgEncodeRikenCageCd34mobilizedCellPapPlusRawRep1","bigWig","PlusSignal","wgEncodeRikenCageCd34mobilizedCellPapPlusRawRep1.bigWig","wgEncodeRikenCageCd34mobilizedCellPapPlusRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageCd34mobilizedCellPapPlusRawRep1.bigWig"
"003WC","GM12878","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2011-04-29#,#2012-01-29#,"wgEncodeEH001680",,"GSM849368","Gingeras","RIKEN","J72",,"cell","8cd60821188d81a0fff923b913a2f156",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"13M",,3946,,"wgEncodeRikenCageGm12878CellPapMinusSignalRep1","bigWig","MinusSignal","wgEncodeRikenCageGm12878CellPapMinusSignalRep1.bigWig","wgEncodeRikenCageGm12878CellPapMinusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CellPapMinusSignalRep1.bigWig"
"004WC","GM12878","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2011-04-29#,#2012-01-29#,"wgEncodeEH001680",,"GSM849368","Gingeras","RIKEN","J73",,"cell","4f1cbefb544bc5d8b00ebc089cf9178f",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"17M",,3951,,"wgEncodeRikenCageGm12878CellPapMinusSignalRep2","bigWig","MinusSignal","wgEncodeRikenCageGm12878CellPapMinusSignalRep2.bigWig","wgEncodeRikenCageGm12878CellPapMinusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CellPapMinusSignalRep2.bigWig"
"003WC","GM12878","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2011-04-29#,#2012-01-29#,"wgEncodeEH001680",,"GSM849368","Gingeras","RIKEN","J72",,"cell","6b3c771491b80a0c2a79d908a5e1f60b",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"15M",,3946,,"wgEncodeRikenCageGm12878CellPapPlusSignalRep1","bigWig","PlusSignal","wgEncodeRikenCageGm12878CellPapPlusSignalRep1.bigWig","wgEncodeRikenCageGm12878CellPapPlusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CellPapPlusSignalRep1.bigWig"
"004WC","GM12878","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2011-04-29#,#2012-01-29#,"wgEncodeEH001680",,"GSM849368","Gingeras","RIKEN","J73",,"cell","2c5e364b2affd07ca95a344f16ce8f26",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"15M",,3951,,"wgEncodeRikenCageGm12878CellPapPlusSignalRep2","bigWig","PlusSignal","wgEncodeRikenCageGm12878CellPapPlusSignalRep2.bigWig","wgEncodeRikenCageGm12878CellPapPlusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CellPapPlusSignalRep2.bigWig"
"Generation 0","GM12878","wgEncodeRikenCage","Cage","ENCODE June 2010 Freeze",#2010-06-21#,#2009-03-09#,#2009-12-09#,"wgEncodeEH000338",,,"Gingeras","RIKEN",,"bedtools v2.7.1","cytosol","16f881e10265380521e309683375cf3d","renamed","wgEncode",,0,"longNonPolyA",,,"12M",,1797,,"wgEncodeRikenCageGm12878CytosolLongnonpolyaMinusClusters","bigWig","MinusSignal","wgEncodeRikenCageGm12878CytosolLongnonpolyaMinusClusters.bigWig","wgEncodeRikenCageGm12878CytosolLongnonpolyaMinusClusters.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CytosolLongnonpolyaMinusClusters.bigWig"
"Generation 0","GM12878","wgEncodeRikenCage","Cage","ENCODE June 2010 Freeze",#2010-06-21#,#2009-03-09#,#2009-12-09#,"wgEncodeEH000338",,,"Gingeras","RIKEN",,"bedtools v2.7.1","cytosol","5fec08d3900bf7c1c20a9b35689f5663","renamed","wgEncode",,0,"longNonPolyA",,,"12M",,1797,,"wgEncodeRikenCageGm12878CytosolLongnonpolyaPlusClusters","bigWig","PlusSignal","wgEncodeRikenCageGm12878CytosolLongnonpolyaPlusClusters.bigWig","wgEncodeRikenCageGm12878CytosolLongnonpolyaPlusClusters.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CytosolLongnonpolyaPlusClusters.bigWig"
"gen0104C","GM12878","wgEncodeRikenCage","Cage","ENCODE June 2010 Freeze",#2010-06-21#,#2009-03-09#,#2009-12-09#,"wgEncodeEH000338",,"GSM849329","Gingeras","RIKEN","I27","bedtools v2.7.1","cytosol","16f881e10265380521e309683375cf3d",,"wgEncode",,,"longNonPolyA",,,"12M",,1797,,"wgEncodeRikenCageGm12878CytosolPamMinusSignal","bigWig","MinusSignal","wgEncodeRikenCageGm12878CytosolPamMinusSignal.bigWig","wgEncodeRikenCageGm12878CytosolPamMinusSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CytosolPamMinusSignal.bigWig"
"gen0104C","GM12878","wgEncodeRikenCage","Cage","ENCODE June 2010 Freeze",#2010-06-21#,#2009-03-09#,#2009-12-09#,"wgEncodeEH000338",,"GSM849329","Gingeras","RIKEN","I27","bedtools v2.7.1","cytosol","5fec08d3900bf7c1c20a9b35689f5663",,"wgEncode",,,"longNonPolyA",,,"12M",,1797,,"wgEncodeRikenCageGm12878CytosolPamPlusSignal","bigWig","PlusSignal","wgEncodeRikenCageGm12878CytosolPamPlusSignal.bigWig","wgEncodeRikenCageGm12878CytosolPamPlusSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CytosolPamPlusSignal.bigWig"
"003C","GM12878","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2011-04-29#,#2012-01-29#,"wgEncodeEH001679",,"GSM849349","Gingeras","RIKEN","J84",,"cytosol","33171018a1b5f7ca9469e87db1f2d052",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"12M",,3950,,"wgEncodeRikenCageGm12878CytosolPapMinusSignalRep1","bigWig","MinusSignal","wgEncodeRikenCageGm12878CytosolPapMinusSignalRep1.bigWig","wgEncodeRikenCageGm12878CytosolPapMinusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CytosolPapMinusSignalRep1.bigWig"
"004C","GM12878","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2011-04-28#,#2012-01-28#,"wgEncodeEH001679",,"GSM849349","Gingeras","RIKEN","J85",,"cytosol","8ef216b78facfa754fd26e7cf34b963d",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"12M",,3947,,"wgEncodeRikenCageGm12878CytosolPapMinusSignalRep2","bigWig","MinusSignal","wgEncodeRikenCageGm12878CytosolPapMinusSignalRep2.bigWig","wgEncodeRikenCageGm12878CytosolPapMinusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CytosolPapMinusSignalRep2.bigWig"
"003C","GM12878","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2011-04-29#,#2012-01-29#,"wgEncodeEH001679",,"GSM849349","Gingeras","RIKEN","J84",,"cytosol","591b45fc707da9b9e001622830803330",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"14M",,3950,,"wgEncodeRikenCageGm12878CytosolPapPlusSignalRep1","bigWig","PlusSignal","wgEncodeRikenCageGm12878CytosolPapPlusSignalRep1.bigWig","wgEncodeRikenCageGm12878CytosolPapPlusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CytosolPapPlusSignalRep1.bigWig"
"004C","GM12878","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2011-04-28#,#2012-01-28#,"wgEncodeEH001679",,"GSM849349","Gingeras","RIKEN","J85",,"cytosol","3de885fbcf494db1ae4266a32d15dfaa",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"13M",,3947,,"wgEncodeRikenCageGm12878CytosolPapPlusSignalRep2","bigWig","PlusSignal","wgEncodeRikenCageGm12878CytosolPapPlusSignalRep2.bigWig","wgEncodeRikenCageGm12878CytosolPapPlusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CytosolPapPlusSignalRep2.bigWig"
