"cell","composite","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"CD20+_RO01794","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Jul 2012 Freeze",,#2012-04-25#,#2013-01-25#,"wgEncodeEH003465","GSM1008588","Crawford","Duke","p-value cutoff: 0.05","8577d24b2b2fcf7e963f8a44e19c41ea",,,"wgEncode",,"2.0M",6861,,"wgEncodeOpenChromDnaseCd20ro01794Pk",,"narrowPeak","Peaks","wgEncodeOpenChromDnaseCd20ro01794Pk.narrowPeak.gz","wgEncodeOpenChromDnaseCd20ro01794Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseCd20ro01794Pk.narrowPeak.gz"
"CD20+_RO01794","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Jul 2012 Freeze",,#2012-04-25#,#2013-01-25#,"wgEncodeEH003465","GSM1008588","Crawford","Duke","fseq v 1.84, iff_generic_male","a9f32113fd90c829366a5404e3db115a",,,"wgEncode",,"3.2G",6861,,"wgEncodeOpenChromDnaseCd20ro01794Sig",,"bigWig","Signal","wgEncodeOpenChromDnaseCd20ro01794Sig.bigWig","wgEncodeOpenChromDnaseCd20ro01794Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseCd20ro01794Sig.bigWig"
"Cerebellum_OC","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Jul 2012 Freeze",,#2012-07-09#,#2013-04-09#,"wgEncodeEH003481","GSM1008583","Crawford","Duke","baseAlignCounts.pl v 1","aa07418ffd75b7921dac9bce791297ac",,,"wgEncode",,"1.7G",7340,,"wgEncodeOpenChromDnaseCerebellumocBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnaseCerebellumocBaseOverlapSignal.bigWig","wgEncodeOpenChromDnaseCerebellumocBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseCerebellumocBaseOverlapSignal.bigWig"
"Cerebellum_OC","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Jul 2012 Freeze",,#2012-07-09#,#2013-04-09#,"wgEncodeEH003481","GSM1008583","Crawford","Duke","p-value cutoff: 0.05","d0bb9497ea14ebfbf974905d38515b0b",,,"wgEncode",,"1.9M",7340,,"wgEncodeOpenChromDnaseCerebellumocPk",,"narrowPeak","Peaks","wgEncodeOpenChromDnaseCerebellumocPk.narrowPeak.gz","wgEncodeOpenChromDnaseCerebellumocPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseCerebellumocPk.narrowPeak.gz"
"Cerebellum_OC","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Jul 2012 Freeze",,#2012-07-09#,#2013-04-09#,"wgEncodeEH003481","GSM1008583","Crawford","Duke","fseq v 1.84, iff_generic_male","05eac036c9cd74cedfafa15b20c5ec9e",,,"wgEncode",,"3.0G",7340,,"wgEncodeOpenChromDnaseCerebellumocSig",,"bigWig","Signal","wgEncodeOpenChromDnaseCerebellumocSig.bigWig","wgEncodeOpenChromDnaseCerebellumocSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseCerebellumocSig.bigWig"
"Cerebrum_frontal_OC","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Jul 2012 Freeze",,#2012-07-08#,#2013-04-07#,"wgEncodeEH003480","GSM1008578","Crawford","Duke","baseAlignCounts.pl v 1","e56c5c266bd8bb2fd84ab3388819eeb8",,,"wgEncode",,"1.6G",7339,,"wgEncodeOpenChromDnaseCerebrumfrontalocBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnaseCerebrumfrontalocBaseOverlapSignal.bigWig","wgEncodeOpenChromDnaseCerebrumfrontalocBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseCerebrumfrontalocBaseOverlapSignal.bigWig"
"Cerebrum_frontal_OC","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Jul 2012 Freeze",,#2012-07-08#,#2013-04-07#,"wgEncodeEH003480","GSM1008578","Crawford","Duke","p-value cutoff: 0.05","e65f4625c297e64b96d6c45f168d7443",,,"wgEncode",,"2.3M",7339,,"wgEncodeOpenChromDnaseCerebrumfrontalocPk",,"narrowPeak","Peaks","wgEncodeOpenChromDnaseCerebrumfrontalocPk.narrowPeak.gz","wgEncodeOpenChromDnaseCerebrumfrontalocPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseCerebrumfrontalocPk.narrowPeak.gz"
"Cerebrum_frontal_OC","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Jul 2012 Freeze",,#2012-07-08#,#2013-04-07#,"wgEncodeEH003480","GSM1008578","Crawford","Duke","fseq v 1.84, iff_generic_male","a4f334bbf2d8f8d1d8f60233be5da657",,,"wgEncode",,"3.1G",7339,,"wgEncodeOpenChromDnaseCerebrumfrontalocSig",,"bigWig","Signal","wgEncodeOpenChromDnaseCerebrumfrontalocSig.bigWig","wgEncodeOpenChromDnaseCerebrumfrontalocSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseCerebrumfrontalocSig.bigWig"
"Chorion","wgEncodeOpenChromDnase","generic_female","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-14#,#2009-12-28#,#2010-09-27#,"wgEncodeEH000595","GSM816628","Crawford","Duke","baseAlignCounts.pl v 1","b8c3b4b617c62ab1ccb79dee866563df",,"hg18","wgEncode",,"1.1G",1412,,"wgEncodeOpenChromDnaseChorionBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnaseChorionBaseOverlapSignal.bigWig","wgEncodeOpenChromDnaseChorionBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseChorionBaseOverlapSignal.bigWig"
"Chorion","wgEncodeOpenChromDnase","generic_female","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-14#,#2009-12-28#,#2010-09-27#,"wgEncodeEH000595","GSM816628","Crawford","Duke","p-value cutoff: 0.05","30b152b1c8fd659fb089e7b1ac3a1bfa",,"hg18","wgEncode",,"2.4M",1412,,"wgEncodeOpenChromDnaseChorionPk",,"narrowPeak","Peaks","wgEncodeOpenChromDnaseChorionPk.narrowPeak.gz","wgEncodeOpenChromDnaseChorionPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseChorionPk.narrowPeak.gz"
"Chorion","wgEncodeOpenChromDnase","generic_female","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-14#,#2009-12-28#,#2010-09-27#,"wgEncodeEH000595","GSM816628","Crawford","Duke","fseq v 1.84, iff_generic_female","a362f93ed32de1f3b8156930cedf1165",,"hg18","wgEncode",,"3.4G",1412,,"wgEncodeOpenChromDnaseChorionSig",,"bigWig","Signal","wgEncodeOpenChromDnaseChorionSig.bigWig","wgEncodeOpenChromDnaseChorionSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseChorionSig.bigWig"
"CLL","wgEncodeOpenChromDnase","generic_female","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-11-01#,#2011-08-01#,"wgEncodeEH001104","GSM816664","Crawford","Duke","private-noSequence baseAlignCounts.pl v 1","5e1830f83fb4b810ed8ace6167a82b97",,"hg19","wgEncode",,"1.4G",2787,,"wgEncodeOpenChromDnaseCllBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnaseCllBaseOverlapSignal.bigWig","wgEncodeOpenChromDnaseCllBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseCllBaseOverlapSignal.bigWig"
"CLL","wgEncodeOpenChromDnase","generic_female","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-11-01#,#2011-08-01#,"wgEncodeEH001104","GSM816664","Crawford","Duke","private-noSequence p-value cutoff: 0.05","ac049fea9a6a67122d7d9e3a90473039",,"hg19","wgEncode",,"2.1M",2787,,"wgEncodeOpenChromDnaseCllPk",,"narrowPeak","Peaks","wgEncodeOpenChromDnaseCllPk.narrowPeak.gz","wgEncodeOpenChromDnaseCllPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseCllPk.narrowPeak.gz"
"CLL","wgEncodeOpenChromDnase","generic_female","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-11-01#,#2011-08-01#,"wgEncodeEH001104","GSM816664","Crawford","Duke","private-noSequence fseq v 1.84, iff_generic_female","7bd88601403c273a082419389e06a7f8",,"hg19","wgEncode",,"3.2G",2787,,"wgEncodeOpenChromDnaseCllSig",,"bigWig","Signal","wgEncodeOpenChromDnaseCllSig.bigWig","wgEncodeOpenChromDnaseCllSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseCllSig.bigWig"
"Colo829","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2011-09-28#,#2012-06-28#,"wgEncodeEH002549","GSM1008571","Crawford","Duke","baseAlignCounts.pl v 1","6f81b3af373b3ebac92a125c0224aa7a",,,"wgEncode",,"1.3G",4907,,"wgEncodeOpenChromDnaseColo829BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnaseColo829BaseOverlapSignal.bigWig","wgEncodeOpenChromDnaseColo829BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseColo829BaseOverlapSignal.bigWig"
"Colo829","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2011-09-28#,#2012-06-28#,"wgEncodeEH002549","GSM1008571","Crawford","Duke","p-value cutoff: 0.05","fcc463e03b06e446128fe2180da265ca",,,"wgEncode",,"2.3M",4907,,"wgEncodeOpenChromDnaseColo829Pk",,"narrowPeak","Peaks","wgEncodeOpenChromDnaseColo829Pk.narrowPeak.gz","wgEncodeOpenChromDnaseColo829Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseColo829Pk.narrowPeak.gz"
"Colo829","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2011-09-28#,#2012-06-28#,"wgEncodeEH002549","GSM1008571","Crawford","Duke","fseq v 1.84, iff_generic_male","ea569b490f6915ea4be31c59e53aafa8",,,"wgEncode",,"3.4G",4907,,"wgEncodeOpenChromDnaseColo829Sig",,"bigWig","Signal","wgEncodeOpenChromDnaseColo829Sig.bigWig","wgEncodeOpenChromDnaseColo829Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseColo829Sig.bigWig"
"ECC-1","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2012-01-31#,#2012-10-31#,"wgEncodeEH002555","GSM1008597","Crawford","Duke","baseAlignCounts.pl v 1","d17c7cd3715ca93f44fc56a814475d72",,,"wgEncode",,"1.5G",5387,,"wgEncodeOpenChromDnaseEcc1Dm002p1hBaseOverlapSignal","DMSO_0.02pct","bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnaseEcc1Dm002p1hBaseOverlapSignal.bigWig","wgEncodeOpenChromDnaseEcc1Dm002p1hBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseEcc1Dm002p1hBaseOverlapSignal.bigWig"
"ECC-1","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2012-01-31#,#2012-10-31#,"wgEncodeEH002555","GSM1008597","Crawford","Duke","p-value cutoff: 0.05","e119c0c162bba3b552d2b3e412b90aca",,,"wgEncode",,"1.9M",5387,,"wgEncodeOpenChromDnaseEcc1Dm002p1hPk","DMSO_0.02pct","narrowPeak","Peaks","wgEncodeOpenChromDnaseEcc1Dm002p1hPk.narrowPeak.gz","wgEncodeOpenChromDnaseEcc1Dm002p1hPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseEcc1Dm002p1hPk.narrowPeak.gz"
"ECC-1","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2012-01-31#,#2012-10-31#,"wgEncodeEH002555","GSM1008597","Crawford","Duke","fseq v 1.84, iff_generic_female","3a3f2271c1e473763d62fedc58d4a3cf",,,"wgEncode",,"3.1G",5387,,"wgEncodeOpenChromDnaseEcc1Dm002p1hSig","DMSO_0.02pct","bigWig","Signal","wgEncodeOpenChromDnaseEcc1Dm002p1hSig.bigWig","wgEncodeOpenChromDnaseEcc1Dm002p1hSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseEcc1Dm002p1hSig.bigWig"
"ECC-1","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2012-02-03#,#2012-11-03#,"wgEncodeEH002564","GSM1008574","Crawford","Duke","baseAlignCounts.pl v 1","4c7c78b8de1197ac1c2dc8f46a62e5d3",,,"wgEncode",,"1.5G",5384,,"wgEncodeOpenChromDnaseEcc1Est10nm30mBaseOverlapSignal","Estradiol_10nM_30m","bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnaseEcc1Est10nm30mBaseOverlapSignal.bigWig","wgEncodeOpenChromDnaseEcc1Est10nm30mBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseEcc1Est10nm30mBaseOverlapSignal.bigWig"
"ECC-1","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2012-02-03#,#2012-11-03#,"wgEncodeEH002564","GSM1008574","Crawford","Duke","p-value cutoff: 0.05","14d9758b6bed66fad0b8733efda9c64b",,,"wgEncode",,"1.8M",5384,,"wgEncodeOpenChromDnaseEcc1Est10nm30mPk","Estradiol_10nM_30m","narrowPeak","Peaks","wgEncodeOpenChromDnaseEcc1Est10nm30mPk.narrowPeak.gz","wgEncodeOpenChromDnaseEcc1Est10nm30mPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseEcc1Est10nm30mPk.narrowPeak.gz"
